,Unnamed: 0,id,title,author,publish_date
0,0,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,The Picture of Dorian Gray,Oscar Wilde,1890.0
1,1,https://www.goodreads.com/book/show/17245.Dracula,Dracula,Bram Stoker,1897.0
2,2,https://www.goodreads.com/book/show/92303.The_Importance_of_Being_Earnest,The Importance of Being Earnest,Oscar Wilde,1895.0
3,3,https://www.goodreads.com/book/show/2493.The_Time_Machine,The Time Machine,H.G. Wells,1895.0
4,4,https://www.goodreads.com/book/show/8909.The_War_of_the_Worlds,The War of the Worlds,H.G. Wells,1897.0
5,5,https://www.goodreads.com/book/show/32261.Tess_of_the_D_Urbervilles,Tess of the D'Urbervilles,Thomas Hardy,1891.0
6,6,https://www.goodreads.com/book/show/4900.Heart_of_Darkness,Heart of Darkness,Joseph Conrad,1899.0
7,7,https://www.goodreads.com/book/show/12948.The_Turn_of_the_Screw,The Turn of the Screw,Henry James,1898.0
8,8,https://www.goodreads.com/book/show/17184.The_Invisible_Man,The Invisible Man,H.G. Wells,1897.0
9,9,https://www.goodreads.com/book/show/58345.The_Awakening,The Awakening,Kate Chopin,1899.0
10,10,https://www.goodreads.com/book/show/29981.The_Island_of_Dr_Moreau,The Island of Dr. Moreau,H.G. Wells,1896.0
11,11,https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes,The Adventures of Sherlock Holmes ,Arthur Conan Doyle,1892.0
12,12,https://www.goodreads.com/book/show/286957.The_Yellow_Wall_Paper,The Yellow Wall-Paper,Charlotte Perkins Gilman,1892.0
13,13,https://www.goodreads.com/book/show/608474.The_Sign_of_Four,The Sign of Four ,Arthur Conan Doyle,1890.0
14,14,https://www.goodreads.com/book/show/50798.Jude_the_Obscure,Jude the Obscure,Thomas Hardy,1895.0
15,15,https://www.goodreads.com/book/show/32585.Hunger,Hunger,Knut Hamsun,1890.0
16,16,https://www.goodreads.com/book/show/35220.The_Red_Badge_of_Courage,The Red Badge of Courage,Stephen Crane,1895.0
17,17,https://www.goodreads.com/book/show/194373.The_Memoirs_of_Sherlock_Holmes,The Memoirs of Sherlock Holmes ,Arthur Conan Doyle,1893.0
18,19,https://www.goodreads.com/book/show/54492.The_Prisoner_of_Zenda,The Prisoner of Zenda ,Anthony Hope,1894.0
19,20,https://www.goodreads.com/book/show/392452.What_Maisie_Knew,What Maisie Knew,Henry James,1897.0
20,21,https://www.goodreads.com/book/show/442296.Effi_Briest,Effi Briest,Theodor Fontane,1894.0
21,23,https://www.goodreads.com/book/show/77270.The_Jungle_Book,The Jungle Book,Rudyard Kipling,1894.0
22,24,https://www.goodreads.com/book/show/79649.The_Seagull,The Seagull,Anton Chekhov,1895.0
23,25,https://www.goodreads.com/book/show/231560.Uncle_Vanya,Uncle Vanya,Anton Chekhov,1897.0
24,26,https://www.goodreads.com/book/show/15638.Cyrano_de_Bergerac,Cyrano de Bergerac,Edmond Rostand,1897.0
25,27,https://www.goodreads.com/book/show/920649.An_Occurrence_at_Owl_Creek_Bridge,An Occurrence at Owl Creek Bridge,Ambrose Bierce,1890.0
26,28,https://www.goodreads.com/book/show/32277642-the-king-in-yellow,The King in Yellow,Robert W. Chambers,1895.0
27,31,https://www.goodreads.com/book/show/5296.An_Ideal_Husband,An Ideal Husband,Oscar Wilde,1893.0
28,32,https://www.goodreads.com/book/show/93981.The_Interpretation_of_Dreams,The Interpretation of Dreams,Sigmund Freud,1899.0
29,33,https://www.goodreads.com/book/show/292275.Hedda_Gabler,Hedda Gabler,Henrik Ibsen,1890.0
30,34,https://www.goodreads.com/book/show/315298.L_Bas,Là-Bas ,Joris-Karl Huysmans,1891.0
31,38,https://www.goodreads.com/book/show/67762.Salom_,Salomé,Oscar Wilde,1891.0
32,39,https://www.goodreads.com/book/show/122648.A_Woman_of_No_Importance,A Woman of No Importance,Oscar Wilde,1893.0
33,42,https://www.goodreads.com/book/show/1852.The_Call_of_the_Wild,The Call of the Wild,Jack London,1903.0
34,43,https://www.goodreads.com/book/show/551498.The_Awkward_Age,The Awkward Age,Henry James,1899.0
35,44,https://www.goodreads.com/book/show/122649.Lady_Windermere_s_Fan,Lady Windermere's Fan,Oscar Wilde,1892.0
36,45,https://www.goodreads.com/book/show/675037.The_Odd_Women,The Odd Women,George Gissing,1893.0
37,46,https://www.goodreads.com/book/show/41684.The_Jungle_Books,The Jungle Books,Rudyard Kipling,1895.0
38,47,https://www.goodreads.com/book/show/164019.The_Theory_of_the_Leisure_Class,The Theory of the Leisure Class,Thorstein Veblen,1899.0
39,48,https://www.goodreads.com/book/show/538845.Quo_Vadis,Quo Vadis,Henryk Sienkiewicz,1896.0
40,49,https://www.goodreads.com/book/show/99300.The_Yellow_Wallpaper_and_Other_Stories,The Yellow Wallpaper and Other Stories,Charlotte Perkins Gilman,1892.0
41,50,https://www.goodreads.com/book/show/782519.New_Grub_Street,New Grub Street,George Gissing,1891.0
42,51,https://www.goodreads.com/book/show/2395757.The_Adventure_of_the_Blue_Carbuncle_a_Sherlock_Holmes_Short_Story,The Adventure of the Blue Carbuncle - a Sherlock Holmes Short Story ,Arthur Conan Doyle,1892.0
43,52,https://www.goodreads.com/book/show/408862.The_Golden_Bough,The Golden Bough,James George Frazer,1890.0
44,53,https://www.goodreads.com/book/show/82888.Dom_Casmurro,Dom Casmurro,Machado de Assis,1899.0
45,54,https://www.goodreads.com/book/show/682793.Pudd_nhead_Wilson,Pudd'nhead Wilson,Mark Twain,1893.0
46,55,https://www.goodreads.com/book/show/32590.Pan,Pan,Knut Hamsun,1894.0
47,56,https://www.goodreads.com/book/show/168655.McTeague,McTeague,Frank Norris,1899.0
48,60,https://www.goodreads.com/book/show/853950.Tristana,Tristana,Benito Pérez Galdós,1892.0
49,61,https://www.goodreads.com/book/show/115538.Moonfleet,Moonfleet,John Meade Falkner,1898.0
50,62,https://www.goodreads.com/book/show/10147.The_Complete_Sherlock_Holmes_Volume_I,"The Complete Sherlock Holmes, Volume I",Arthur Conan Doyle,1927.0
51,63,https://www.goodreads.com/book/show/112204.The_Complete_Poems_of_Emily_Dickinson,The Complete Poems of Emily Dickinson,Emily Dickinson,1890.0
52,64,https://www.goodreads.com/book/show/67859.G_sta_Berling_s_Saga,Gösta Berling's Saga,Selma Lagerlöf,1891.0
53,65,https://www.goodreads.com/book/show/398197.Almayer_s_Folly,Almayer's Folly,Joseph Conrad,1892.0
54,66,https://www.goodreads.com/book/show/1481718.The_Wind_Among_the_Reeds,The Wind Among the Reeds,W.B. Yeats,1899.0
55,67,https://www.goodreads.com/book/show/80339.The_Soul_of_Man_Under_Socialism,The Soul of Man Under Socialism,Oscar Wilde,1891.0
56,69,https://www.goodreads.com/book/show/34057.Captains_Courageous,Captains Courageous,Rudyard Kipling,1897.0
57,71,https://www.goodreads.com/book/show/1367037.Le_Docteur_Pascal,Le Docteur Pascal ,Émile Zola,1893.0
