book_id_title,book_id,book_title,year_first_published,authorlink,author,genres,num_ratings,num_reviews,average_rating
8204237-a-daughter-of-raasay,8204237,A Daughter of Raasay: A Tale of the '45,1902,https://www.goodreads.com/author/show/142763.William_MacLeod_Raine,William MacLeod Raine,['Fiction'],13,3,4.0
7465073-varney-the-vampire-volume-ii,7465073,"Varney the Vampire, Volume II",2014,https://www.goodreads.com/author/show/824008.Thomas_Peckett_Prest,Thomas Peckett Prest,"['Vampires', 'Horror', 'Classics', '19th Century']",30,7,3.43
35867634-the-christmas-wreck-and-other-stories,35867634,The Christmas Wreck and Other Stories,2018,https://www.goodreads.com/author/show/4988270.Frank_R_Stockton,Frank R. Stockton,[],3,2,3.0
682793.Pudd_nhead_Wilson,682793,Pudd'nhead Wilson,1893,https://www.goodreads.com/author/show/1244.Mark_Twain,Mark Twain,"['Classics', 'Fiction', 'Literature', 'Humor', 'Historical Fiction', 'American', 'Mystery', '...more']","17,680","1,244",3.75
14110.The_Book_of_Snobs,14110,The Book of Snobs,1848,https://www.goodreads.com/author/show/3953.William_Makepeace_Thackeray,William Makepeace Thackeray,"['Classics', 'Fiction', 'Humor', '19th Century', 'British Literature', 'Victorian', 'Literature', '...more']",467,54,3.46
32831.The_Mysterious_Island,32831,The Mysterious Island,1875,https://www.goodreads.com/author/show/696805.Jules_Verne,Jules Verne,"['Classics', 'Fiction', 'Science Fiction', 'Adventure', 'Fantasy', 'France', 'Literature', '...more']","50,739","2,150",4.12
87602.Confessions_of_an_English_Opium_Eater_Other_Writings,87602,Confessions of an English Opium-Eater & Other Writings,1998,https://www.goodreads.com/author/show/50325.Thomas_de_Quincey,Thomas de Quincey,"['Classics', 'Nonfiction', 'Biography', 'Essays', '19th Century', 'Memoir', 'Romanticism', '...more']",925,81,3.45
98906.The_Gilded_Age,98906,The Gilded Age,1873,https://www.goodreads.com/author/show/1244.Mark_Twain,Mark Twain,"['Classics', 'Fiction', 'Literature', 'Humor', 'Historical Fiction', 'Politics', '19th Century', '...more']","1,425",184,3.54
611947.The_Daisy_Chain_Or_Aspirations,611947,"The Daisy Chain, Or, Aspirations: A Family Chronicle",1856,https://www.goodreads.com/author/show/176982.Charlotte_Mary_Yonge,Charlotte Mary Yonge,"['Fiction', 'Classics', '19th Century', 'Victorian', 'Young Adult', 'Romance', 'School', '...more']",196,33,3.51
2183.Sentimental_Education,2183,Sentimental Education,1869,https://www.goodreads.com/author/show/1461.Gustave_Flaubert,Gustave Flaubert,"['Classics', 'Fiction', 'France', 'French Literature', '19th Century', 'Literature', 'Novels', '...more']","20,779","1,081",3.81
7326529-varney-the-vampire-volume-i,7326529,"Varney the Vampire, Volume I",2009,https://www.goodreads.com/author/show/824008.Thomas_Peckett_Prest,Thomas Peckett Prest,"['Horror', 'Classics', 'Vampires', 'Pirates', 'Gothic', 'Fiction', '19th Century', '...more']",56,12,3.16
33507.Twenty_Thousand_Leagues_Under_the_Sea,33507,Twenty Thousand Leagues Under the Sea,1870,https://www.goodreads.com/author/show/696805.Jules_Verne,Jules Verne,"['Classics', 'Science Fiction', 'Fiction', 'Adventure', 'Fantasy', 'France', 'Literature', '...more']","238,005","9,043",3.89
18722021-friarswood-post-office,18722021,Friarswood Post Office,1860,https://www.goodreads.com/author/show/176982.Charlotte_Mary_Yonge,Charlotte Mary Yonge,[],10,2,3.2
680596.Der_Sandmann,680596,Der Sandmann,1815,https://www.goodreads.com/author/show/7267068.E_T_A_Hoffmann,E.T.A. Hoffmann,"['Classics', 'Horror', 'German Literature', 'Fiction', 'Short Stories', 'School', 'Gothic', '...more']","16,804",865,3.63
19271478-the-two-guardians-or-home-in-this-world,19271478,"The Two Guardians or, Home in This World",1852,https://www.goodreads.com/author/show/176982.Charlotte_Mary_Yonge,Charlotte Mary Yonge,['Classics'],1,1,5.0
54492.The_Prisoner_of_Zenda,54492,The Prisoner of Zenda,1894,https://www.goodreads.com/author/show/30775.Anthony_Hope,Anthony Hope,"['Classics', 'Fiction', 'Adventure', 'Historical Fiction', 'Romance', 'Fantasy', 'Novels', '...more']","20,817","1,225",3.84
2593701-cuentos,2593701,Cuentos,1985,https://www.goodreads.com/author/show/5780534.Leopoldo_Alas,Leopoldo Alas,['Fiction'],75,1,3.56
611859.Elsie_s_Endless_Wait,611859,Elsie's Endless Wait,1999,https://www.goodreads.com/author/show/6619.Martha_Finley,Martha Finley,"['Historical Fiction', 'Christian Fiction', 'Christian', 'Fiction', 'Young Adult', 'Childrens', 'Historical', '...more']","1,141",78,4.04
8921.The_Hound_of_the_Baskervilles,8921,The Hound of the Baskervilles,1901,https://www.goodreads.com/author/show/2448.Arthur_Conan_Doyle,Arthur Conan Doyle,"['Classics', 'Mystery', 'Fiction', 'Crime', 'Detective', 'Mystery Thriller', 'Thriller', '...more']","319,258","11,016",4.13
12298.The_Scarlet_Letter_and_Other_Writings,12298,The Scarlet Letter and Other Writings,1949,https://www.goodreads.com/author/show/7799.Nathaniel_Hawthorne,Nathaniel Hawthorne,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'American', 'Romance', '...more']","2,858",150,3.63
374360.Phineas_Redux,374360,Phineas Redux,1874,https://www.goodreads.com/author/show/20524.Anthony_Trollope,Anthony Trollope,"['Classics', 'Fiction', '19th Century', 'Victorian', 'Literature', 'British Literature', 'Historical Fiction', '...more']","2,570",245,4.08
1711371.The_Fur_Country,1711371,The Fur Country,1873,https://www.goodreads.com/author/show/696805.Jules_Verne,Jules Verne,"['Classics', 'Adventure', 'Fiction', 'Science Fiction', 'France', 'Historical Fiction', 'Literature', '...more']",609,46,3.7
