,book,author,id
57,Jews Without Money,Michael Gold,https://www.goodreads.com/book/show/106309.Jews_Without_Money
58,Looking Backward: 2000-1887,Edward Bellamy,https://www.goodreads.com/book/show/296977.Looking_Backward
59,Light in August,William Faulkner,https://www.goodreads.com/book/show/10979.Light_in_August
60,Life in the Iron Mills and Other Stories,Rebecca Harding Davis,https://www.goodreads.com/book/show/463469.Life_in_the_Iron_Mills_and_Other_Stories
61,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,https://www.goodreads.com/book/show/397483.The_Devil_in_the_White_City
62,The Reckoning,Edith Wharton,https://www.goodreads.com/book/show/24874314-the-reckoning
63,Walden & Civil Disobedience,Henry David Thoreau,https://www.goodreads.com/book/show/116020.Walden_Civil_Disobedience
64,The Squatter and the Don,María Amparo Ruiz de Burton,https://www.goodreads.com/book/show/417407.The_Squatter_and_the_Don
65,The Heroic Slave,Frederick Douglass,https://www.goodreads.com/book/show/2884337-the-heroic-slave
66,The Complete Poetry,Edgar Allan Poe,https://www.goodreads.com/book/show/73445.The_Complete_Poetry
67,Hagar's Daughter,Pauline Elizabeth Hopkins,https://www.goodreads.com/book/show/964688.Hagar_s_Daughter
68,The Ghost Stories of Edith Wharton,Edith Wharton,https://www.goodreads.com/book/show/2305.The_Ghost_Stories_of_Edith_Wharton
69,"The Murders in the Rue Morgue (C. Auguste Dupin, #1)",Edgar Allan Poe,https://www.goodreads.com/book/show/3301759-the-murders-in-the-rue-morgue
70,Nature and Selected Essays,Ralph Waldo Emerson,https://www.goodreads.com/book/show/123853.Nature_and_Selected_Essays
71,Civil Disobedience and Other Essays,Henry David Thoreau,https://www.goodreads.com/book/show/16900.Civil_Disobedience_and_Other_Essays
72,Our Nig,Harriet E. Wilson,https://www.goodreads.com/book/show/369783.Our_Nig
73,Hawthorne's Fuller Mystery,Thomas R. Mitchell,https://www.goodreads.com/book/show/1362541.Hawthorne_s_Fuller_Mystery
74,Nathaniel Hawthorne's Tales,Nathaniel Hawthorne,https://www.goodreads.com/book/show/47057.Nathaniel_Hawthorne_s_Tales
75,The Office of the Scarlet Letter (Revised),Sacvan Bercovitch,https://www.goodreads.com/book/show/104243.The_Office_of_the_Scarlet_Letter
76,The Yellow Wall-Paper,Charlotte Perkins Gilman,https://www.goodreads.com/book/show/286957.The_Yellow_Wall_Paper
77,The Grapes of Wrath,John Steinbeck,https://www.goodreads.com/book/show/18114322-the-grapes-of-wrath
78,Selected Poems,Emily Dickinson,https://www.goodreads.com/book/show/112200.Selected_Poems
79,The Prologue,Anne Bradstreet,https://www.goodreads.com/book/show/24615072-the-prologue
80,The Complete Poems,Walt Whitman,https://www.goodreads.com/book/show/45286.The_Complete_Poems
81,Song of Myself,Walt Whitman,https://www.goodreads.com/book/show/293918.Song_of_Myself
82,The Crack-Up,F. Scott Fitzgerald,https://www.goodreads.com/book/show/16893.The_Crack_Up
83,"The Purloined Letter (C. Auguste Dupin, #3)",Edgar Allan Poe,https://www.goodreads.com/book/show/278854.The_Purloined_Letter
84,Selected Writings,Ralph Waldo Emerson,https://www.goodreads.com/book/show/123850.Selected_Writings
85,The Story of the Good Little Boy,Mark Twain,https://www.goodreads.com/book/show/10746720-the-story-of-the-good-little-boy
86,The Story of the Bad Little Boy,Mark Twain,https://www.goodreads.com/book/show/12363786-the-story-of-the-bad-little-boy
87,Canavar,Stephen Crane,https://www.goodreads.com/book/show/52199748-canavar
88,Sister Carrie,Theodore Dreiser,https://www.goodreads.com/book/show/126609.Sister_Carrie
89,The Ambassadors,Henry James,https://www.goodreads.com/book/show/775366.The_Ambassadors
90,Melville: His World and Work,Andrew Delbanco,https://www.goodreads.com/book/show/24692.Melville
91,The Turn of the Screw and The Aspern Papers,Henry James,https://www.goodreads.com/book/show/12950.The_Turn_of_the_Screw_and_The_Aspern_Papers
92,The Wings of the Dove,Henry James,https://www.goodreads.com/book/show/124272.The_Wings_of_the_Dove
93,The Adventures of Tom Sawyer and Adventures of Huckleberry Finn,Mark Twain,https://www.goodreads.com/book/show/24580.The_Adventures_of_Tom_Sawyer_and_Adventures_of_Huckleberry_Finn
94,Little Men,Louisa May Alcott,https://www.goodreads.com/book/show/78950.Little_Men
95,Jo's Boys,Louisa May Alcott,https://www.goodreads.com/book/show/372319.Jo_s_Boys
96,Matilda,Roald Dahl,https://www.goodreads.com/book/show/39988.Matilda
97,The Portrait of a Lady,Henry James,https://www.goodreads.com/book/show/264.The_Portrait_of_a_Lady
98,Twelve Years a Slave,Solomon Northup,https://www.goodreads.com/book/show/18478222-twelve-years-a-slave
99,Wieland and Memoirs of Carwin the Biloquist,Charles Brockden Brown,https://www.goodreads.com/book/show/402836.Wieland_and_Memoirs_of_Carwin_the_Biloquist
100,The Open Boat,Stephen Crane,https://www.goodreads.com/book/show/1778663.The_Open_Boat
101,"Edgar Huntly or, Memoirs of a Sleep-Walker",Charles Brockden Brown,https://www.goodreads.com/book/show/597280.Edgar_Huntly_or_Memoirs_of_a_Sleep_Walker
102,The Quaker City: The Monks of Monk Hall,George Lippard,https://www.goodreads.com/book/show/269144.The_Quaker_City
103,The Autobiography of Mark Twain,Mark Twain,https://www.goodreads.com/book/show/2971.The_Autobiography_of_Mark_Twain
104,Roughing It,Mark Twain,https://www.goodreads.com/book/show/38747.Roughing_It
105,Life on the Mississippi,Mark Twain,https://www.goodreads.com/book/show/99152.Life_on_the_Mississippi
106,The Prince and the Pauper,Mark Twain,https://www.goodreads.com/book/show/62446.The_Prince_and_the_Pauper
107,The Mysterious Stranger,Mark Twain,https://www.goodreads.com/book/show/102564.The_Mysterious_Stranger
108,The Diaries of Adam and Eve,Mark Twain,https://www.goodreads.com/book/show/108202.The_Diaries_of_Adam_and_Eve
109,Letters from the Earth: Uncensored Writings,Mark Twain,https://www.goodreads.com/book/show/37813.Letters_from_the_Earth
110,The Unabridged Mark Twain,Mark Twain,https://www.goodreads.com/book/show/527211.The_Unabridged_Mark_Twain
111,The Bible According to Mark Twain,Mark Twain,https://www.goodreads.com/book/show/2969.The_Bible_According_to_Mark_Twain
112,Great Short Works,Stephen Crane,https://www.goodreads.com/book/show/49545.Great_Short_Works
113,"Eight Cousins (Eight Cousins, #1)",Louisa May Alcott,https://www.goodreads.com/book/show/14570.Eight_Cousins
114,The Complete Poems of Emily Dickinson,Emily Dickinson,https://www.goodreads.com/book/show/112204.The_Complete_Poems_of_Emily_Dickinson
115,Narrative of the Life of Frederick Douglass,Frederick Douglass,https://www.goodreads.com/book/show/36529.Narrative_of_the_Life_of_Frederick_Douglass
116,Incidents in the Life of a Slave Girl,Harriet Ann Jacobs,https://www.goodreads.com/book/show/152519.Incidents_in_the_Life_of_a_Slave_Girl
117,Rip Van Winkle,Washington Irving,https://www.goodreads.com/book/show/462182.Rip_Van_Winkle
118,The Blithedale Romance,Nathaniel Hawthorne,https://www.goodreads.com/book/show/50776.The_Blithedale_Romance
119,Young Goodman Brown and Other Short Stories,Nathaniel Hawthorne,https://www.goodreads.com/book/show/40016.Young_Goodman_Brown_and_Other_Short_Stories
120,"The Last of the Mohicans (The Leatherstocking Tales, #2)",James Fenimore Cooper,https://www.goodreads.com/book/show/38296.The_Last_of_the_Mohicans
