,id,title,author
62,https://www.goodreads.com/book/show/50798.Jude_the_Obscure,Jude the Obscure,Thomas Hardy
63,https://www.goodreads.com/book/show/588747.Lady_Audley_s_Secret,Lady Audley's Secret,Mary Elizabeth Braddon
64,https://www.goodreads.com/book/show/229432.The_Pickwick_Papers,The Pickwick Papers,Charles Dickens
65,https://www.goodreads.com/book/show/304.Daniel_Deronda,Daniel Deronda,George Eliot
66,https://www.goodreads.com/book/show/50827.Dombey_and_Son,Dombey and Son,Charles Dickens
67,https://www.goodreads.com/book/show/56759.The_Mayor_of_Casterbridge,The Mayor of Casterbridge,Thomas Hardy
68,https://www.goodreads.com/book/show/32650.The_Return_of_the_Native,The Return of the Native,Thomas Hardy
69,https://www.goodreads.com/book/show/8909.The_War_of_the_Worlds,The War of the Worlds,H.G. Wells
70,https://www.goodreads.com/book/show/90192.The_House_of_the_Seven_Gables,The House of the Seven Gables,Nathaniel Hawthorne
71,https://www.goodreads.com/book/show/19117.Fathers_and_Sons,Fathers and Sons,Ivan Turgenev
72,https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle
73,https://www.goodreads.com/book/show/133954.Washington_Square,Washington Square,Henry James
74,https://www.goodreads.com/book/show/20564.The_Mill_on_the_Floss,The Mill on the Floss,George Eliot
75,https://www.goodreads.com/book/show/149785.The_Way_We_Live_Now,The Way We Live Now,Anthony Trollope
76,https://www.goodreads.com/book/show/17184.The_Invisible_Man,The Invisible Man,H.G. Wells
77,https://www.goodreads.com/book/show/325128.Kidnapped,"Kidnapped (David Balfour, #1)",Robert Louis Stevenson
78,https://www.goodreads.com/book/show/6440.Ivanhoe,Ivanhoe,Walter Scott
79,https://www.goodreads.com/book/show/7190.The_Three_Musketeers,"The Three Musketeers (The D'Artagnan Romances, #1)",Alexandre Dumas
80,https://www.goodreads.com/book/show/31168.Shirley,Shirley,Charlotte Brontë
81,https://www.goodreads.com/book/show/35220.The_Red_Badge_of_Courage,The Red Badge of Courage,Stephen Crane
82,https://www.goodreads.com/book/show/14662.The_Red_and_the_Black,The Red and the Black,Stendhal
83,https://www.goodreads.com/book/show/59145.P_re_Goriot,Père Goriot,Honoré de Balzac
84,https://www.goodreads.com/book/show/23919.The_Complete_Stories_and_Poems,The Complete Stories and Poems,Edgar Allan Poe
85,https://www.goodreads.com/book/show/374371.Can_You_Forgive_Her_,"Can You Forgive Her? (Palliser, #1)",Anthony Trollope
86,https://www.goodreads.com/book/show/31175.The_Professor,The Professor,Charlotte Brontë
87,https://www.goodreads.com/book/show/125321.Barchester_Towers,"Barchester Towers (Chronicles of Barsetshire, #2)",Anthony Trollope
88,https://www.goodreads.com/book/show/286957.The_Yellow_Wall_Paper,The Yellow Wall-Paper,Charlotte Perkins Gilman
89,https://www.goodreads.com/book/show/48037.Carmilla,Carmilla,J. Sheridan Le Fanu
90,https://www.goodreads.com/book/show/51497.The_Strange_Case_of_Dr_Jekyll_and_Mr_Hyde_and_Other_Tales_of_Terror,The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror,Robert Louis Stevenson
91,https://www.goodreads.com/book/show/837422.In_a_Glass_Darkly,In a Glass Darkly,J. Sheridan Le Fanu
92,https://www.goodreads.com/book/show/32829.Journey_to_the_Center_of_the_Earth,Journey to the Center of the Earth,Jules Verne
93,https://www.goodreads.com/book/show/29981.The_Island_of_Dr_Moreau,The Island of Dr. Moreau,H.G. Wells
94,https://www.goodreads.com/book/show/28407.Germinal,Germinal,Émile Zola
95,https://www.goodreads.com/book/show/110871.Th_r_se_Raquin,Thérèse Raquin,Émile Zola
96,https://www.goodreads.com/book/show/92303.The_Importance_of_Being_Earnest,The Importance of Being Earnest,Oscar Wilde
97,https://www.goodreads.com/book/show/374352.Phineas_Finn,"Phineas Finn (Palliser, #2)",Anthony Trollope
98,https://www.goodreads.com/book/show/2183.Sentimental_Education,Sentimental Education,Gustave Flaubert
99,https://www.goodreads.com/book/show/721012.The_Legend_of_Sleepy_Hollow_and_Other_Stories,The Legend of Sleepy Hollow and Other Stories,Washington Irving
100,https://www.goodreads.com/book/show/782519.New_Grub_Street,New Grub Street,George Gissing
101,https://www.goodreads.com/book/show/162898.A_Connecticut_Yankee_in_King_Arthur_s_Court,A Connecticut Yankee in King Arthur's Court,Mark Twain
102,https://www.goodreads.com/book/show/78950.Little_Men,Little Men,Louisa May Alcott
103,https://www.goodreads.com/book/show/325085.Nicholas_Nickleby,Nicholas Nickleby,Charles Dickens
104,https://www.goodreads.com/book/show/54620.Mary_Barton,Mary Barton,Elizabeth Gaskell
105,https://www.goodreads.com/book/show/1990.Martin_Chuzzlewit,Martin Chuzzlewit,Charles Dickens
106,https://www.goodreads.com/book/show/33507.Twenty_Thousand_Leagues_Under_the_Sea,"Twenty Thousand Leagues Under the Sea (Captain Nemo, #2)",Jules Verne
107,https://www.goodreads.com/book/show/14680.The_Charterhouse_of_Parma,The Charterhouse of Parma,Stendhal
108,https://www.goodreads.com/book/show/60671823-alice-s-adventures-in-wonderland,Alice's Adventures in Wonderland,Lewis Carroll
109,https://www.goodreads.com/book/show/371456.Nana,Nana,Émile Zola
110,https://www.goodreads.com/book/show/966835.The_Last_Man,The Last Man,Mary Wollstonecraft Shelley
111,https://www.goodreads.com/book/show/429024.The_Old_Curiosity_Shop,The Old Curiosity Shop,Charles Dickens
112,https://www.goodreads.com/book/show/20563.Adam_Bede,Adam Bede,George Eliot
113,https://www.goodreads.com/book/show/329957.The_Mystery_of_Edwin_Drood,The Mystery of Edwin Drood,Charles Dickens
114,https://www.goodreads.com/book/show/114230.Bartleby_the_Scrivener,"Bartleby, the Scrivener: A Story of Wall Street",Herman Melville
115,https://www.goodreads.com/book/show/50776.The_Blithedale_Romance,The Blithedale Romance,Nathaniel Hawthorne
116,https://www.goodreads.com/book/show/207313.Melmoth_the_Wanderer,Melmoth the Wanderer,Charles Maturin
117,https://www.goodreads.com/book/show/5695.Demons,Demons,Fyodor Dostoevsky
118,https://www.goodreads.com/book/show/516570.Erewhon,"Erewhon (Erewhon, #1)",Samuel Butler
119,https://www.goodreads.com/book/show/8921.The_Hound_of_the_Baskervilles,"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle
120,https://www.goodreads.com/book/show/392452.What_Maisie_Knew,What Maisie Knew,Henry James
121,https://www.goodreads.com/book/show/38296.The_Last_of_the_Mohicans,"The Last of the Mohicans (The Leatherstocking Tales, #2)",James Fenimore Cooper
122,https://www.goodreads.com/book/show/3685.Black_Beauty,Black Beauty,Anna Sewell
123,https://www.goodreads.com/book/show/16204.Daisy_Miller,Daisy Miller,Henry James
124,https://www.goodreads.com/book/show/11026.Barnaby_Rudge,Barnaby Rudge,Charles Dickens
125,https://www.goodreads.com/book/show/535856.The_Diary_of_a_Nobody,The Diary of a Nobody,George Grossmith
126,https://www.goodreads.com/book/show/32585.Hunger,Hunger,Knut Hamsun
127,https://www.goodreads.com/book/show/374360.Phineas_Redux,"Phineas Redux (Palliser, #4)",Anthony Trollope
128,https://www.goodreads.com/book/show/87264.Mem_rias_P_stumas_de_Br_s_Cubas,Memórias Póstumas de Brás Cubas,Machado de Assis
129,https://www.goodreads.com/book/show/12857.The_Gambler,The Gambler,Fyodor Dostoevsky
130,https://www.goodreads.com/book/show/15613.Billy_Budd_Sailor,"Billy Budd, Sailor",Herman Melville
131,https://www.goodreads.com/book/show/41684.The_Jungle_Books,The Jungle Books,Rudyard Kipling
132,https://www.goodreads.com/book/show/766869.The_Narrative_of_Arthur_Gordon_Pym_of_Nantucket,The Narrative of Arthur Gordon Pym of Nantucket,Edgar Allan Poe
133,https://www.goodreads.com/book/show/182385.Gothic_Tales,Gothic Tales,Elizabeth Gaskell
134,https://www.goodreads.com/book/show/338807.Ruth,Ruth,Elizabeth Gaskell
135,https://www.goodreads.com/book/show/816740.The_Beetle,The Beetle,Richard Marsh
136,https://www.goodreads.com/book/show/374380.The_Duke_s_Children,"The Duke's Children (Palliser, #6)",Anthony Trollope
137,https://www.goodreads.com/book/show/4921.Three_Men_in_a_Boat,"Three Men in a Boat (Three Men, #1)",Jerome K. Jerome
