,book_id_title,book_id,book_title,year_first_published,authorlink,author,genres,num_ratings,num_reviews,average_rating,flag
273,626363.Marius_the_Epicurean,626363,Marius the Epicurean,1885.0,https://www.goodreads.com/author/show/6423748.Walter_Pater,Walter Pater,"['Classics', 'Fiction', 'Historical Fiction', 'Philosophy', '19th Century', 'Literature', 'Victorian', '...more']",644,53,3.55,True
275,50776.The_Blithedale_Romance,50776,The Blithedale Romance,1851.0,https://www.goodreads.com/author/show/7799.Nathaniel_Hawthorne,Nathaniel Hawthorne,"['Classics', 'Fiction', 'Literature', '19th Century', 'American', 'Historical Fiction', 'Novels', '...more']","5,596",468,3.36,True
278,31168.Shirley,31168,Shirley,1849.0,https://www.goodreads.com/author/show/1036615.Charlotte_Bront_,Charlotte Brontë,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', '19th Century', 'Victorian', 'British Literature', '...more']","33,238","1,432",3.75,True
279,8122147-minnie-s-sacrifice,8122147,Minnie's Sacrifice,1869.0,https://www.goodreads.com/author/show/106213.Frances_Ellen_Watkins_Harper,Frances Ellen Watkins Harper,[],36,4,3.61,True
281,21115665-dynevor-terrace,21115665,"Dynevor Terrace: or, the clue of life - Volume 1",1857.0,https://www.goodreads.com/author/show/176982.Charlotte_Mary_Yonge,Charlotte Mary Yonge,[],8,0,3.63,True
282,9488435-the-gadfly,9488435,The Gadfly,1897.0,https://www.goodreads.com/author/show/799335.Ethel_Lilian_Voynich,Ethel Lilian Voynich,"['Fiction', 'Classics', 'Novels', 'Historical Fiction', 'Literature', 'Irish Literature', 'Ireland', '...more']","10,593",784,4.19,True
286,28462.Spring_Torrents,28462,Spring Torrents,1872.0,https://www.goodreads.com/author/show/410680.Ivan_Turgenev,Ivan Turgenev,"['Classics', 'Russia', 'Fiction', 'Russian Literature', 'Literature', 'Romance', '19th Century', '...more']","4,599",336,3.95,True
289,17876.Notes_from_Underground_White_Nights_The_Dream_of_a_Ridiculous_Man_and_Selections_from_The_House_of_the_Dead,17876,"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",1864.0,https://www.goodreads.com/author/show/3137322.Fyodor_Dostoevsky,Fyodor Dostoevsky,"['Classics', 'Fiction', 'Russia', 'Philosophy', 'Russian Literature', 'Literature', 'Novels', '...more']","75,856","1,845",4.18,True
291,28381.Dead_Souls,28381,Dead Souls,1842.0,https://www.goodreads.com/author/show/232932.Nikolai_Gogol,Nikolai Gogol,"['Classics', 'Fiction', 'Russia', 'Russian Literature', 'Literature', 'Novels', '19th Century', '...more']","78,319","3,508",3.98,True
293,6969.Emma,6969,Emma,1815.0,https://www.goodreads.com/author/show/1265.Jane_Austen,Jane Austen,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Audiobook', '...more']","811,276","27,581",4.04,True
295,5344.Hard_Times,5344,Hard Times,1854.0,https://www.goodreads.com/author/show/239579.Charles_Dickens,Charles Dickens,"['Classics', 'Fiction', 'Literature', '19th Century', 'Victorian', 'Novels', 'Historical Fiction', '...more']","64,357","3,777",3.54,True
296,5700.The_Adolescent,5700,The Adolescent,1875.0,https://www.goodreads.com/author/show/3137322.Fyodor_Dostoevsky,Fyodor Dostoevsky,"['Classics', 'Fiction', 'Russian Literature', 'Russia', 'Literature', 'Novels', '19th Century', '...more']","8,008",513,3.93,True
299,50798.Jude_the_Obscure,50798,Jude the Obscure,1895.0,https://www.goodreads.com/author/show/15905.Thomas_Hardy,Thomas Hardy,"['Classics', 'Fiction', 'Literature', '19th Century', 'Victorian', 'Novels', 'British Literature', '...more']","68,888","3,880",3.83,True
300,207313.Melmoth_the_Wanderer,207313,Melmoth the Wanderer,1820.0,https://www.goodreads.com/author/show/6523516.Charles_Maturin,Charles Maturin,"['Classics', 'Gothic', 'Horror', 'Fiction', '19th Century', 'Literature', 'Fantasy', '...more']","4,836",376,3.71,True
301,54479.Around_the_World_in_Eighty_Days,54479,Around the World in Eighty Days,1872.0,https://www.goodreads.com/author/show/696805.Jules_Verne,Jules Verne,"['Classics', 'Fiction', 'Adventure', 'Science Fiction', 'France', 'Travel', 'Fantasy', '...more']","228,259","9,716",3.94,True
302,6138.The_Moonstone,6138,The Moonstone,1868.0,https://www.goodreads.com/author/show/4012.Wilkie_Collins,Wilkie Collins,"['Classics', 'Mystery', 'Fiction', 'Crime', 'Victorian', '19th Century', 'Historical Fiction', '...more']","88,996","5,478",3.91,True
305,597320.Typee,597320,Typee: A Peep at Polynesian Life,1846.0,https://www.goodreads.com/author/show/1624.Herman_Melville,Herman Melville,"['Fiction', 'Classics', 'Travel', 'Adventure', 'Literature', 'American', 'Novels', '...more']","5,137",476,3.56,True
306,608474.The_Sign_of_Four,608474,The Sign of Four,1890.0,https://www.goodreads.com/author/show/2448.Arthur_Conan_Doyle,Arthur Conan Doyle,"['Classics', 'Mystery', 'Fiction', 'Crime', 'Detective', 'Audiobook', 'Mystery Thriller', '...more']","142,650","6,811",3.91,True
307,782519.New_Grub_Street,782519,New Grub Street,1891.0,https://www.goodreads.com/author/show/4532116.George_Gissing,George Gissing,"['Classics', 'Fiction', 'Victorian', '19th Century', 'Literature', 'British Literature', 'Novels', '...more']","6,013",358,3.76,True
311,7118988-dear-faustina,7118988,Dear Faustina,1897.0,https://www.goodreads.com/author/show/632260.Rhoda_Broughton,Rhoda Broughton,[],8,1,3.0,True
312,1339655.Deerbrook,1339655,Deerbrook,1838.0,https://www.goodreads.com/author/show/55843.Harriet_Martineau,Harriet Martineau,"['Classics', 'Fiction', 'Victorian', '19th Century', 'British Literature', 'Historical Fiction', 'Literary Fiction', '...more']",333,56,3.74,True
313,190344.First_Term_at_Malory_Towers,190344,First Term at Malory Towers,1946.0,https://www.goodreads.com/author/show/10657.Enid_Blyton,Enid Blyton,"['Childrens', 'Fiction', 'Classics', 'Middle Grade', 'Boarding School', 'School Stories', 'Young Adult', '...more']","18,323",821,4.13,True
