,Unnamed: 0,id,title,author,publish_date
457,411,https://www.goodreads.com/book/show/97333.At_Swim_Two_Birds,At Swim-Two-Birds,Flann O'Brien,1939.0
458,413,https://www.goodreads.com/book/show/45894065-good-morning-midnight,"Good Morning, Midnight",Jean Rhys,1939.0
459,415,https://www.goodreads.com/book/show/10979.Light_in_August,Light in August,William Faulkner,1932.0
460,421,https://www.goodreads.com/book/show/1556093.Ghost_Stories_of_an_Antiquary,Ghost Stories of an Antiquary,M.R. James,1904.0
461,426,https://www.goodreads.com/book/show/126587.Manhattan_Transfer,Manhattan Transfer,John Dos Passos,1925.0
462,428,https://www.goodreads.com/book/show/527756.The_Man_Without_Qualities,The Man Without Qualities,Robert Musil,1930.0
463,435,https://www.goodreads.com/book/show/847735.The_Other_Side,The Other Side,Alfred Kubin,1909.0
464,442,https://www.goodreads.com/book/show/99107.Winnie_the_Pooh,Winnie-the-Pooh ,A.A. Milne,1926.0
465,445,https://www.goodreads.com/book/show/953232.Mike_and_Psmith,Mike and Psmith ,P.G. Wodehouse,1909.0
466,446,https://www.goodreads.com/book/show/715058.The_Life_and_Adventures_of_Santa_Claus,The Life and Adventures of Santa Claus,L. Frank Baum,1902.0
467,455,https://www.goodreads.com/book/show/24861.Demian,Demian: Die Geschichte von Emil Sinclairs Jugend,Hermann Hesse,1919.0
468,462,https://www.goodreads.com/book/show/333538.The_Castle,The Castle,Franz Kafka,1926.0
469,466,https://www.goodreads.com/book/show/34080.The_Waste_Land,The Waste Land,T.S. Eliot,1922.0
470,472,https://www.goodreads.com/book/show/188214.The_Mystery_of_the_Yellow_Room,The Mystery of the Yellow Room ,Gaston Leroux,1907.0
471,473,https://www.goodreads.com/book/show/74176.The_Protestant_Ethic_and_the_Spirit_of_Capitalism,The Protestant Ethic and the Spirit of Capitalism,Max Weber,1904.0
472,474,https://www.goodreads.com/book/show/116597.Dorothy_and_the_Wizard_in_Oz,Dorothy and the Wizard in Oz ,L. Frank Baum,1908.0
473,475,https://www.goodreads.com/book/show/748318.The_Man_of_Property,The Man of Property ,John Galsworthy,1906.0
474,477,https://www.goodreads.com/book/show/225396.Jacob_s_Room,Jacob's Room,Virginia Woolf,1922.0
475,479,https://www.goodreads.com/book/show/9648.Keep_the_Aspidistra_Flying,Keep the Aspidistra Flying,George Orwell,1936.0
476,484,https://www.goodreads.com/book/show/916856.Miss_Pettigrew_Lives_for_a_Day,Miss Pettigrew Lives for a Day,Winifred Watson,1938.0
477,488,https://www.goodreads.com/book/show/152052.They_Shoot_Horses_Don_t_They_,"They Shoot Horses, Don't They?",Horace McCoy,1935.0
478,490,https://www.goodreads.com/book/show/54258.The_Radetzky_March,The Radetzky March ,Joseph Roth,1932.0
479,491,https://www.goodreads.com/book/show/80616.The_Thin_Man,The Thin Man,Dashiell Hammett,1933.0
480,492,https://www.goodreads.com/book/show/83017.The_Tartar_Steppe,The Tartar Steppe,Dino Buzzati,1940.0
481,493,https://www.goodreads.com/book/show/1147020.Professor_Unrat,Professor Unrat,Heinrich Mann,1905.0
482,496,https://www.goodreads.com/book/show/116056.Night_and_Day,Night and Day,Virginia Woolf,1919.0
483,0,https://www.goodreads.com/book/show/485894.The_Metamorphosis,The Metamorphosis,Franz Kafka,1915.0
484,1,https://www.goodreads.com/book/show/11012.Dubliners,Dubliners,James Joyce,1914.0
485,2,https://www.goodreads.com/book/show/2998.The_Secret_Garden,The Secret Garden,Frances Hodgson Burnett,1911.0
486,3,https://www.goodreads.com/book/show/7588.A_Portrait_of_the_Artist_as_a_Young_Man,A Portrait of the Artist as a Young Man,James Joyce,1916.0
487,4,https://www.goodreads.com/book/show/12749.Swann_s_Way,Swann’s Way,Marcel Proust,1913.0
488,5,https://www.goodreads.com/book/show/38374795-howards-end,Howards End,E.M. Forster,1910.0
489,6,https://www.goodreads.com/book/show/5246.Ethan_Frome,Ethan Frome,Edith Wharton,1911.0
490,7,https://www.goodreads.com/book/show/17150.My_ntonia,My Ántonia ,Willa Cather,1918.0
491,8,https://www.goodreads.com/book/show/153492.The_39_Steps,The 39 Steps ,John Buchan,1915.0
492,9,https://www.goodreads.com/book/show/7714.Pygmalion,Pygmalion,George Bernard Shaw,1912.0
493,10,https://www.goodreads.com/book/show/34268.Peter_Pan,Peter Pan,J.M. Barrie,1911.0
494,11,https://www.goodreads.com/book/show/80176.Winesburg_Ohio,"Winesburg, Ohio",Sherwood Anderson,1919.0
495,12,https://www.goodreads.com/book/show/53061.Death_in_Venice,Death in Venice,Thomas Mann,1912.0
496,13,https://www.goodreads.com/book/show/7628.The_Good_Soldier,The Good Soldier,Ford Madox Ford,1915.0
497,14,https://www.goodreads.com/book/show/200572.My_Man_Jeeves,My Man Jeeves ,P.G. Wodehouse,1919.0
498,15,https://www.goodreads.com/book/show/32071.Sons_and_Lovers,Sons and Lovers,D.H. Lawrence,1913.0
499,16,https://www.goodreads.com/book/show/31548.Of_Human_Bondage,Of Human Bondage,W. Somerset Maugham,1915.0
500,17,https://www.goodreads.com/book/show/140963.O_Pioneers_,O Pioneers! ,Willa Cather,1913.0
501,18,https://www.goodreads.com/book/show/24861.Demian,Demian: Die Geschichte von Emil Sinclairs Jugend,Hermann Hesse,1919.0
