,gutenberg_id,title
0,65465,The Professor's House
1,65636,A Lost Lady
2,1999,Crome Yellow
3,4368,Flappers and Philosophers
4,68061,Lud-in-the-Mist
5,69683,Men without women
6,63849,Bambi
7,61077,The King of Elfland's Daughter
8,29220,Monday or Tuesday
9,60483,Antic Hay
10,980,Alice Adams
11,1250,Anthem
12,68811,"Black no more: Being an account of the strange and wonderful workings of science in the land of the free, A.D. 1933-1940"
