,gutenberg_id,title,goodreads_title
0,2360,The Riddle of the Sands,The Riddle of the Sands
1,9830,The Beautiful and Damned,The Beautiful and Damned
2,1298,The Virginian: A Horseman of the Plains,The Virginian: A Horseman of the Plains
3,1156,Babbitt,Babbitt
4,1250,Anthem,Anthem
5,166,Summer,Summer
6,15408,"Three Lives: Stories of The Good Anna, Melanctha and The Gentle Lena",Three Lives
7,16389,The Enchanted April,The Enchanted April
8,1210,Kwaidan: Stories and Studies of Strange Things,Kwaidan: Stories and Studies of Strange Things
9,11052,The Custom of the Country,The Custom of the Country
10,144,The Voyage Out,The Voyage Out
11,520,The Life and Adventures of Santa Claus,The Life and Adventures of Santa Claus
12,5670,Jacob's Room,Jacob's Room
13,1245,Night and Day,Night and Day
14,26298,The Metamorphosis,The Metamorphosis
15,2814,Dubliners,Dubliners
16,17396,The Secret Garden,The Secret Garden
17,4217,A Portrait of the Artist as a Young Man,A Portrait of the Artist as a Young Man
18,4517,Ethan Frome,Ethan Frome
19,416,"Winesburg, Ohio: A Group of Tales of Ohio Small Town Life","Winesburg, Ohio"
20,66073,Death in Venice,Death in Venice
21,2775,The Good Soldier,The Good Soldier
22,351,Of Human Bondage,Of Human Bondage
23,144,The Voyage Out,The Voyage Out
24,166,Summer,Summer
25,37189,The Return of the Soldier,The Return of the Soldier
26,11052,The Custom of the Country,The Custom of the Country
27,175,The Phantom of the Opera,The Phantom of the Opera
28,1845,"Zuleika Dobson; Or, An Oxford Love Story",Zuleika Dobson
29,1245,Night and Day,Night and Day
30,7849,The Trial,The Trial
31,32,Herland,Herland
32,8867,The Magnificent Ambersons,The Magnificent Ambersons
33,222,The Moon and Sixpence,The Moon and Sixpence
34,6100,Pollyanna Grows Up,Pollyanna 
35,10984,Growth of the Soil,Growth of the Soil
36,5311,Parnassus on Wheels,Parnassus on Wheels
37,2480,Under Western Eyes,Under Western Eyes
38,4397,The Forsyte Saga - Complete,The Forsyte Saga 
39,283,The Reef,The Reef
40,805,This Side of Paradise,This Side of Paradise
41,2014,The Lodger,The Lodger
42,3608,The Ragged Trousered Philanthropists,The Ragged Trousered Philanthropists
43,6378,Victory: An Island Tale,Victory
44,543,Main Street,Main Street
45,94,Alexander's Bridge,Alexander's Bridge
46,4380,Under Fire: The Story of a Squad,Under Fire
47,14797,The Tale of Timmy Tiptoes,The Tale of Timmy Tiptoes
48,7477,The Book of Wonder,The Book of Wonder
49,243,"The Forged Coupon, and Other Stories",The Forged Coupon
50,21970,The Scarlet Plague,The Scarlet Plague
51,1605,The Crock of Gold,The Crock of Gold
52,14396,His Family,His Family
