,gutenberg_id,title,goodreads_title
53,17089,The Tale of Mrs. Tittlemouse,The Tale of Mrs. Tittlemouse
54,10662,The Night Land,The Night Land
55,8129,A Dreamer's Tales,A Dreamer's Tales
56,66864,Moving the Mountain,Moving the Mountain
57,7838,Fifty-One Tales,Fifty-One Tales
58,541,The Age of Innocence,The Age of Innocence
59,29932,The Harbor,The Harbor
60,18190,Raggedy Ann Stories,Raggedy Ann Stories
61,284,The House of Mirth,The House of Mirth
62,7166,The Home and the World,The Home and the World
63,5347,Understood Betsy,Understood Betsy
64,7031,The Sheik: A Novel,The Sheik
65,140,The Jungle,The Jungle
66,555,The Unbearable Bassington,The Unbearable Bassington
67,64317,The Great Gatsby,The Great Gatsby
68,67138,The Sun Also Rises,The Sun Also Rises
69,7849,The Trial,The Trial
70,541,The Age of Innocence,The Age of Innocence
71,2500,Siddhartha,Siddhartha
72,805,This Side of Paradise,This Side of Paradise
73,4300,Ulysses,Ulysses
74,9830,The Beautiful and Damned,The Beautiful and Damned
75,64682,The Painted Veil,The Painted Veil
76,16389,The Enchanted April,The Enchanted April
77,66829,"""Gentlemen Prefer Blondes"": The Illuminating Diary of a Professional Lady",Gentlemen Prefer Blondes
78,1156,Babbitt,Babbitt
79,11757,The Velveteen Rabbit,The Velveteen Rabbit
80,543,Main Street,Main Street
81,69768,The bridge of San Luis Rey,The Bridge of San Luis Rey
82,69730,Death comes for the archbishop,Death Comes for the Archbishop
83,60093,Cane,Cane
84,1263,The Glimpses of the Moon,The Glimpses of the Moon
85,5670,Jacob's Room,Jacob's Room
86,61085,In our time,In Our Time
87,59112,R.U.R. (Rossum's Universal Robots): A Fantastic Melodrama in Three Acts and an Epilogue,R.U.R.
88,4397,The Forsyte Saga - Complete,The Forsyte Saga 
89,61686,So Big,So Big
90,6695,Tales of the Jazz Age,Tales of the Jazz Age
91,1329,A Voyage to Arcturus,A Voyage to Arcturus
92,174,The Picture of Dorian Gray,The Picture of Dorian Gray
93,345,Dracula,Dracula
94,110,Tess of the d'Urbervilles: A Pure Woman,Tess of the D'Urbervilles
95,219,Heart of Darkness,Heart of Darkness
96,209,The Turn of the Screw,The Turn of the Screw
97,160,"The Awakening, and Selected Short Stories",The Awakening
98,153,Jude the Obscure,Jude the Obscure
99,8387,Hunger,Hunger
100,73,The Red Badge of Courage: An Episode of the American Civil War,The Red Badge of Courage
101,7118,What Maisie Knew,What Maisie Knew
102,236,The Jungle Book,The Jungle Book
103,375,An Occurrence at Owl Creek Bridge,An Occurrence at Owl Creek Bridge
104,8492,The King in Yellow,The King in Yellow
105,215,The Call of the Wild,The Call of the Wild
106,7433,The Awkward Age,The Awkward Age
107,4313,The Odd Women,The Odd Women
108,2853,Quo Vadis: A Narrative of the Time of Nero,Quo Vadis
109,1709,New Grub Street,New Grub Street
110,102,The Tragedy of Pudd'nhead Wilson,Pudd'nhead Wilson
111,7214,Pan,Pan
112,165,McTeague: A Story of San Francisco,McTeague
113,10743,Moonfleet,Moonfleet
114,720,Almayer's Folly: A Story of an Eastern River,Almayer's Folly
115,2186,"""Captains Courageous"": A Story of the Grand Banks",Captains Courageous
116,1938,Resurrection,Resurrection
117,389,The Great God Pan,The Great God Pan
118,447,Maggie: A Girl of the Streets,Maggie: A Girl of the Streets
119,1937,The Second Jungle Book,The Second Jungle Book
120,39858,Trilby,Trilby
121,57038,The Monomaniac (La bête humaine),La Bête humaine
122,1327,Elizabeth and Her German Garden,Elizabeth and Her German Garden
123,416,"Winesburg, Ohio: A Group of Tales of Ohio Small Town Life","Winesburg, Ohio"
124,93,"Tom Sawyer, Detective","Tom Sawyer, Detective"
125,35517,"The Three Impostors; or, The Transmutations",The Three Impostors
126,4366,Can Such Things Be?,Can Such Things Be?
127,24096,En Route,En Route
128,36378,Ancient Manners; Also Known As Aphrodite,Aphrodite
129,910,White Fang,White Fang
130,5164,The Beetle: A Mystery,The Beetle
131,1144,In the Cage,In the Cage
132,3047,Life's Little Ironies: A set of tales with some colloquial sketches entitled A Few Crusted Characters,Life's Little Ironies
133,3326,The Well-Beloved: A Sketch of a Temperament,The Well-Beloved
134,91,Tom Sawyer Abroad,Tom Sawyer Abroad
135,3055,The Wood Beyond the World,The Wood Beyond the World
136,1640,Lilith: A Romance,Lilith
137,13505,The Duel and Other Stories,The Duel
138,986,Master and Man,Master and Man
139,351,Of Human Bondage,Of Human Bondage
140,8449,A Traveler from Altruria: Romance,A Traveler from Altruria
141,33325,The Spoils of Poynton,The Spoils of Poynton
142,61686,So Big,So Big
143,773,"Lord Arthur Savile's Crime; The Portrait of Mr. W.H., and Other Stories",Lord Arthur Savile's Crime
144,13416,The Darling and Other Stories,The Darling
145,1607,A Journey in Other Worlds: A Romance of the Future,A Journey in Other Worlds: A Romance of the Future
146,10339,An Antarctic Mystery,An Antarctic Mystery
147,56562,Kidnapped (Illustrated): Being Memoirs of the Adventures of David Balfour in the Year 1751,David Balfour 
148,367,The Country of the Pointed Firs,The Country of the Pointed Firs
149,21617,That Affair Next Door,That Affair Next Door
150,53341,The Dorrington Deed-Box,The Dorrington Deed-Box
151,2565,The Story of the Glittering Plain: Which Has Been Also Called the Land of Living Men or the Acre of the Undying,The Glittering Plain
152,14977,The Red Record: Tabulated Statistics and Alleged Causes of Lynching in the United States,The Red Record
153,642,The Altar of the Dead,The Altar of the Dead
154,329,Island Nights' Entertainments,Island Nights' Entertainments
155,1032,The Pupil,The Pupil
156,48795,Sylvie and Bruno Concluded (Illustrated),Sylvie and Bruno Concluded
